,Date,Shape,Location,State,Country,Lat,Lng,Closest Airport,Closest Airport Address,Closest Military Base,Closest Military Base Address
2268,2016-06-29,Disk ,West Chester ,PA ,USA ,39.9606643,-75.6054882,Philadelphia International Airport,"8000 Essington Ave, Philadelphia",US Army Inventory Research,"S 2nd St, Philadelphia"
2269,2016-06-29,Rectangle ,New Egypt ,NJ ,USA ,40.0676135,-74.5307093,Northeast Philadelphia Airport,"9800 Ashton Road, Philadelphia",US Navy Department,"797 NJ-34, Colts Neck"
2270,2016-06-29,Rectangle ,Fenton ,MI ,USA ,42.7978061,-83.7049498,Bishop International Airport,"3425 West Bristol Road, Flint",US Army Department,"2254 Crooks Rd, Rochester Hills"
2271,2016-06-29,Unknown ,Siloam Springs ,AR ,USA ,36.1881365,-94.54049619999999,Northwest Arkansas National Airport,"1 Airport Boulevard, Bentonville",US Army Department,"Highway 71 S, Fayetteville"
2272,2016-06-29,Lights Only ,Indianapolis ,IN ,USA ,39.768403,-86.158068,BAA Indianapolis LLC,"51 South New Jersey Street, Indianapolis",Indiana Army National Guard SSG Wilson,"707 S Rangeline Rd, Carmel"
2273,2016-06-29,Orb/Sphere ,Long Beach ,CA ,USA ,33.7700504,-118.1937395,Heliport,"525 East Seaside Way, Long Beach",US Army Department,Los Alamitos
2274,2016-06-29,Orb/Sphere ,Bloomfield ,NJ ,USA ,40.8067546,-74.1854209,Newark Liberty International Airport,"3 Brewster Road, Newark",United States Department of the Army,"Area Command, Brooklyn"
2275,2016-06-29,Lights Only ,Phoenix ,AZ ,USA ,33.4483771,-112.0740373,Phoenix Mesa,Phoenix,US Army Reserve Herrera Annex,"7334 E Ulysses Ave, Mesa"
2276,2016-06-29,Lights Only ,Waterloo ,IA ,USA ,42.492786,-92.34257749999999,Veterans Memorial Airpark,"5551 24th Avenue Drive, Vinton",US Army Reserve,"5502 Nordic Dr, Cedar Falls"
2277,2016-06-29,Cigar/Cylinder ,Dudley ,MA ,USA ,42.0433661,-71.9276033,Worcester Regional Airport,"375 Airport Drive, Worcester",US Army Department,"645 New London Ave, Cranston"
2278,2016-06-30,Other ,Reston ,VA ,USA ,38.9586307,-77.35700279999999,,,US Army Department,"5611 Columbia Pike, Falls Church"
2279,2016-06-30,Triangle ,Salisbury ,NC ,USA ,35.6709727,-80.4742261,Concord-Padgett Regional Airport,"9000 Aviation Boulevard Northwest, Concord",US Army Reserve,"1245 N Martin Luther King Jr Dr, Winston-Salem"
2280,2016-06-30,Fireball ,Symsonia ,KY ,USA ,36.9203256,-88.5200479,Barkley Regional Airport-Pah,"2901 Fisher Road, West Paducah",US Army Reserve,Mayfield
